merchant_id,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_website,has_social_media
M0528,14.0,49.0,4.3,1.0,,
M0529,3.0,,3.9,1.0,Ya,
M0530,2.0,22.0,4.8,5.0,Tidak,
M0531,3.0,4.0,,1.0,Tidak,Ya
M0532,2.0,40.0,3.1,1.0,Ya,Tidak
M0533,15.0,36.0,4.7,2.0,Ya,Tidak
M0534,17.0,,,2.0,Tidak,Ya
M0535,10.0,5.0,,1.0,Tidak,Ya
M0536,,,3.9,1.0,Tidak,Ya
M0537,5.0,56.0,,2.0,Tidak,Tidak
M0538,6.0,11.0,4.6,5.0,,Tidak
M0539,,42.0,4.1,1.0,Tidak,
M0540,11.0,14.0,4.7,1.0,Ya,Ya
M0541,,,3.7,5.0,Tidak,
M0542,17.0,11.0,4.2,,Ya,Ya
M0543,8.0,46.0,3.5,1.0,,Tidak
M0544,18.0,5.0,,1.0,Tidak,Tidak
M0545,12.0,22.0,,2.0,Ya,
M0546,15.0,48.0,3.4,2.0,Tidak,Ya
M0547,9.0,45.0,4.0,1.0,Ya,Ya
M0548,1.0,3.0,3.0,5.0,Tidak,Tidak
M0549,15.0,40.0,3.7,5.0,,Ya
M0550,13.0,41.0,,5.0,Ya,Tidak
M0551,11.0,15.0,3.6,1.0,Ya,Ya
M0552,19.0,7.0,4.1,1.0,Tidak,Ya
M0553,14.0,65.0,3.1,1.0,,Tidak
M0554,7.0,70.0,4.2,1.0,,Tidak
M0555,2.0,8.0,,1.0,Tidak,Ya
M0556,20.0,39.0,3.0,1.0,Tidak,
M0557,17.0,4.0,3.7,1.0,Tidak,Tidak
M0558,,96.0,,1.0,Tidak,Ya
M0559,11.0,,4.8,2.0,,Tidak
M0560,13.0,14.0,3.0,3.0,,Ya
M0561,8.0,45.0,,1.0,Ya,Tidak
M0562,20.0,36.0,3.6,,Ya,
M0563,19.0,25.0,4.4,1.0,Tidak,Tidak
M0564,11.0,7.0,4.7,1.0,Ya,
M0565,3.0,11.0,4.9,1.0,Tidak,Tidak
M0566,,5.0,4.5,1.0,Tidak,Tidak
M0567,17.0,20.0,3.1,1.0,Tidak,Tidak
M0568,,29.0,3.4,1.0,Tidak,Tidak
M0569,20.0,,,1.0,Tidak,
M0570,3.0,67.0,4.4,1.0,Tidak,Tidak
M0571,8.0,,4.1,5.0,Ya,Ya
M0572,18.0,32.0,3.0,1.0,Tidak,Tidak
M0573,15.0,32.0,3.4,1.0,Ya,Tidak
M0574,,24.0,,1.0,Tidak,
M0575,3.0,1.0,3.5,2.0,Tidak,Ya
M0576,,17.0,4.6,2.0,Tidak,Ya
M0577,13.0,70.0,,,Tidak,
M0578,20.0,19.0,,2.0,Tidak,Ya
M0579,13.0,26.0,4.9,1.0,Ya,
M0580,13.0,30.0,4.0,1.0,,
M0581,12.0,22.0,4.0,1.0,Tidak,Ya
M0582,16.0,36.0,5.0,1.0,Ya,Ya
M0583,,,4.1,1.0,Tidak,Ya
M0584,16.0,26.0,3.1,1.0,Tidak,Tidak
M0585,1.0,16.0,4.7,1.0,Tidak,Ya
M0586,13.0,27.0,3.9,1.0,Tidak,Ya
M0587,15.0,36.0,4.8,1.0,Tidak,
M0588,8.0,37.0,3.3,2.0,Tidak,Tidak
M0589,19.0,27.0,4.0,1.0,Tidak,Tidak
M0590,14.0,63.0,4.1,,Tidak,Ya
M0591,15.0,,3.3,3.0,Tidak,Ya
M0592,6.0,6.0,3.0,1.0,Tidak,Tidak
M0593,18.0,28.0,3.9,2.0,Tidak,Tidak
M0594,13.0,2.0,,1.0,Ya,Tidak
M0595,16.0,22.0,4.5,2.0,Tidak,Tidak
M0596,2.0,27.0,3.1,1.0,Tidak,Tidak
M0597,7.0,19.0,,1.0,Ya,Tidak
M0598,19.0,42.0,4.1,3.0,Tidak,Tidak
M0599,6.0,89.0,,2.0,Ya,Ya
M0600,9.0,,,1.0,Tidak,Tidak
M0601,16.0,49.0,,1.0,Ya,Tidak
M0602,5.0,,,2.0,Ya,Ya
M0603,3.0,,,1.0,Tidak,Ya
M0604,20.0,34.0,,2.0,Tidak,Tidak
M0605,5.0,,4.7,1.0,Ya,Tidak
M0606,12.0,6.0,,2.0,Tidak,Ya
M0607,8.0,24.0,,1.0,Ya,Tidak
M0608,15.0,37.0,3.8,1.0,Tidak,
M0609,6.0,41.0,3.2,1.0,,
M0610,18.0,46.0,3.2,1.0,Tidak,Ya
M0611,10.0,22.0,3.1,2.0,Tidak,Tidak
M0612,3.0,31.0,,2.0,Ya,Tidak
M0613,2.0,40.0,3.3,1.0,Tidak,Tidak
M0614,8.0,49.0,,1.0,,Ya
M0615,7.0,,4.7,2.0,Tidak,Ya
M0616,10.0,79.0,5.0,2.0,Ya,Tidak
M0617,14.0,,4.0,2.0,Ya,Ya
M0618,2.0,37.0,4.4,3.0,,Tidak
M0619,3.0,4.0,3.2,2.0,Ya,Tidak
M0620,10.0,46.0,3.4,1.0,Tidak,Tidak
M0621,5.0,50.0,5.0,1.0,,Tidak
M0622,7.0,87.0,4.8,,Ya,Ya
M0623,2.0,11.0,4.7,3.0,Ya,Tidak
M0624,,,5.0,1.0,Tidak,Ya
M0625,3.0,81.0,3.8,1.0,Tidak,Ya
M0626,20.0,31.0,4.7,1.0,,Ya
M0627,15.0,90.0,4.9,,,Tidak
M0628,18.0,39.0,,2.0,Ya,
M0629,19.0,9.0,,5.0,,Ya
M0630,7.0,19.0,,1.0,Tidak,Tidak
M0631,18.0,20.0,3.3,3.0,Ya,
M0632,,52.0,3.3,1.0,,Ya
M0633,17.0,94.0,,1.0,Tidak,Ya
M0634,20.0,83.0,4.4,1.0,,Ya
M0635,13.0,42.0,4.1,1.0,Tidak,Ya
M0636,8.0,38.0,4.9,1.0,Tidak,Tidak
M0637,9.0,16.0,3.0,3.0,Tidak,Ya
M0638,7.0,43.0,4.4,3.0,Tidak,Ya
M0639,12.0,6.0,,5.0,,Ya
M0640,15.0,49.0,,1.0,Ya,Tidak
M0641,7.0,33.0,,1.0,Tidak,
M0642,13.0,42.0,4.0,2.0,Tidak,Ya
M0643,9.0,,3.1,1.0,Tidak,Tidak
M0644,9.0,66.0,,2.0,,Ya
M0645,19.0,24.0,4.1,1.0,Tidak,Tidak
M0646,4.0,98.0,3.1,2.0,Tidak,
M0647,13.0,16.0,3.0,2.0,Tidak,Tidak
M0648,19.0,83.0,3.4,3.0,Ya,Ya
M0649,9.0,46.0,3.4,1.0,,
M0650,14.0,21.0,4.0,1.0,,Tidak
M0651,9.0,39.0,4.8,2.0,Ya,Tidak
M0652,1.0,7.0,,1.0,Tidak,
M0653,20.0,21.0,3.9,1.0,,Tidak
M0654,8.0,28.0,4.9,1.0,Tidak,Tidak
M0655,2.0,92.0,4.5,2.0,Tidak,Ya
M0656,1.0,26.0,3.2,2.0,Ya,Tidak
M0657,18.0,75.0,3.6,3.0,Tidak,Ya
M0658,14.0,2.0,4.3,1.0,Tidak,Tidak
M0659,5.0,48.0,3.6,2.0,Tidak,Tidak
M0660,11.0,,,2.0,,Tidak
M0661,20.0,61.0,,5.0,Tidak,
M0662,,75.0,,3.0,Tidak,
M0663,4.0,87.0,4.8,,Tidak,Tidak
M0664,14.0,44.0,3.1,,Tidak,
M0665,15.0,,,3.0,,
M0666,12.0,43.0,4.3,1.0,Tidak,Ya
M0667,,,4.5,2.0,Tidak,Tidak
M0668,11.0,76.0,4.0,2.0,Tidak,
M0669,8.0,54.0,3.2,3.0,Tidak,Tidak
M0670,2.0,4.0,,1.0,,Ya
M0671,12.0,11.0,4.4,1.0,Tidak,Ya
M0672,19.0,12.0,3.5,1.0,Tidak,Ya
M0673,19.0,1.0,3.3,2.0,Tidak,Ya
M0674,18.0,18.0,,1.0,,Tidak
M0675,5.0,5.0,3.4,1.0,Tidak,Tidak
M0676,10.0,81.0,4.1,3.0,Ya,Tidak
M0677,5.0,43.0,4.2,3.0,Tidak,Tidak
M0678,2.0,9.0,4.2,1.0,,Tidak
M0679,4.0,7.0,,1.0,Tidak,Tidak
M0680,3.0,29.0,3.8,1.0,Tidak,Tidak
M0681,,18.0,3.1,1.0,Ya,Ya
M0682,10.0,15.0,,1.0,Tidak,Tidak
M0683,8.0,28.0,4.9,1.0,,Tidak
M0684,18.0,48.0,4.2,1.0,Tidak,
M0685,12.0,37.0,3.9,1.0,Ya,Ya
M0686,4.0,79.0,4.6,1.0,,Ya
M0687,4.0,13.0,,,,Tidak
M0688,17.0,8.0,3.7,3.0,Tidak,Tidak
M0689,3.0,,4.2,3.0,Tidak,Ya
M0690,14.0,81.0,4.7,1.0,Tidak,Ya
M0691,,20.0,4.8,,Ya,Tidak
M0692,1.0,48.0,3.9,2.0,Tidak,
M0693,11.0,37.0,3.1,1.0,Tidak,Tidak
M0694,9.0,47.0,4.4,1.0,Tidak,
M0695,16.0,,3.5,1.0,Tidak,Tidak
M0696,3.0,10.0,4.4,1.0,Tidak,
M0697,11.0,30.0,3.1,1.0,,Ya
M0698,1.0,44.0,4.1,1.0,Ya,Ya
M0699,19.0,17.0,3.4,1.0,,Ya
M0700,14.0,58.0,3.4,5.0,Tidak,Tidak
M0701,,33.0,3.1,2.0,Ya,Tidak
M0702,17.0,15.0,5.0,1.0,Ya,Tidak
M0703,15.0,77.0,4.1,1.0,Tidak,Ya
M0704,,,4.5,1.0,Tidak,Tidak
M0705,16.0,39.0,5.0,1.0,Tidak,
M0706,3.0,8.0,4.7,1.0,Tidak,Ya
M0707,16.0,29.0,3.7,1.0,,
M0708,16.0,,3.4,1.0,Tidak,Ya
