trx_id,timestamp,source_id,target_id,amount,channel,payment_type,status,description,ref_number
T006381,2026-05-16 11:03:58,C01962,M0089,24247.01,QRIS,QRIS,success,C2M payment - F&B,REF40708466
T006382,2026-02-13 00:23:44,C01400,M0093,63260.96,transfer,bank_transfer,success,C2M payment - F&B,REF60938599
T006383,2026-01-04 22:19:03,M0261,M0345,392736.3,transfer,bank_transfer,success,M2M settlement - Fashion,REF92288917
T006384,2025-08-22 08:33:02,C01368,M0121,139567.34,transfer,bank_transfer,success,C2M payment - F&B,REF28651385
T006385,2026-04-06 07:20:14,M0292,M0312,14218483.68,EDC,credit_card,failed,M2M settlement - Fashion,REF54961917
T006386,2026-06-03 03:29:57,C00799,M0273,917207.64,EDC,credit_card,success,C2M payment - Fashion,REF52891336
T006387,2026-04-01 05:05:22,C01080,M0100,49500.69,QRIS,QRIS,success,C2M payment - F&B,REF77737155
T006388,2026-03-31 07:06:25,M0569,M0671,55002584.29,transfer,bank_transfer,success,M2M settlement - Automotive,REF15345766
T006389,2026-06-22 11:58:29,C01968,M0165,173853.34,QRIS,QRIS,success,C2M payment - F&B,REF90597981
T006390,2025-09-04 08:09:06,C00830,M0072,139843.25,QRIS,QRIS,success,C2M payment - F&B,REF37503747
T006391,2026-06-02 20:34:58,C01972,M0461,144463.0,EDC,credit_card,success,C2M payment - Grocery,REF15081984
T006392,2025-10-31 12:14:38,C01879,M0380,287188.12,QRIS,QRIS,success,C2M payment - Grocery,REF81621617
T006393,2026-03-14 19:23:16,C00128,M0237,1245530.16,EDC,credit_card,success,C2M payment - Fashion,REF67193693
T006394,2026-03-28 06:34:14,C01574,M0463,216960.84,transfer,bank_transfer,success,C2M payment - Grocery,REF64925355
T006395,2025-09-28 21:08:08,C01056,M0370,44040.65,transfer,bank_transfer,success,C2M payment - Grocery,REF69373169
T006396,2026-04-10 23:37:06,M0484,M0446,6522917.54,transfer,bank_transfer,success,M2M settlement - Grocery,REF24627008
T006397,2026-03-29 08:22:11,C01839,M0461,290845.03,QRIS,QRIS,success,C2M payment - Grocery,REF29618884
T006398,2025-11-21 05:30:23,M0414,M0480,11778496.25,transfer,bank_transfer,success,M2M settlement - Grocery,REF13766134
T006399,2026-03-05 02:30:30,C01934,M0298,627806.93,EDC,credit_card,success,C2M payment - Fashion,REF85015504
T006400,2026-02-13 21:01:39,M0312,M0402,1756558.81,transfer,bank_transfer,success,M2M settlement - Grocery,REF17257749
T006401,2025-11-23 11:33:26,C01118,M0183,39661.73,QRIS,QRIS,success,C2M payment - F&B,REF15642920
T006402,2026-02-24 21:05:20,M0353,M0707,2888378.62,transfer,bank_transfer,success,M2M settlement - F&B,REF06648842
T006403,2025-09-09 21:18:54,M0660,M0318,9929855.1,transfer,bank_transfer,success,M2M settlement - Fashion,REF50307318
T006404,2026-02-16 09:03:56,C00390,M0619,5815469.74,EDC,credit_card,success,C2M payment - Automotive,REF08345547
T006405,2026-05-08 23:40:20,C01990,M0169,66444.82,EDC,credit_card,success,C2M payment - F&B,REF47771901
T006406,2026-02-07 12:29:31,C01363,M0507,956488.95,EDC,credit_card,success,C2M payment - Electronics,REF37842900
T006407,2025-08-24 01:33:28,C01191,M0317,2245039.62,EDC,debit,success,C2M payment - Fashion,REF43457338
T006408,2025-11-08 03:04:02,C01710,M0326,310456.33,QRIS,QRIS,success,C2M payment - Fashion,REF64288606
T006409,2025-12-04 15:05:43,C01068,M0193,195160.7,QRIS,QRIS,success,C2M payment - F&B,REF61034742
T006410,2026-06-30 10:38:20,C00156,M0663,4944671.08,EDC,debit,success,C2M payment - Automotive,REF15536235
T006411,2026-02-14 05:01:41,C00023,M0576,-670282.54,EDC,debit,success,Refund transaction,REF34134128
T006412,2026-02-19 22:05:45,C01904,M0544,3578453.7,EDC,debit,success,C2M payment - Electronics,REF90994983
T006413,2025-09-23 05:36:48,C01879,M0701,222006.85,QRIS,QRIS,success,C2M payment - Grocery,REF09541607
T006414,2026-05-02 06:26:35,C01261,M0534,2180688.17,EDC,credit_card,success,C2M payment - Electronics,REF71639331
T006415,2026-04-21 17:16:09,C01260,M0352,291448.06,transfer,bank_transfer,success,C2M payment - Grocery,REF55600103
T006416,2025-10-03 17:49:33,M0093,M0582,4550625.83,EDC,credit_card,success,M2M settlement - Electronics,REF73656199
T006417,2026-02-26 07:00:14,C01285,M0217,1578206.9,QRIS,QRIS,success,C2M payment - Fashion,REF09965750
T006418,2025-09-13 12:03:00,C00200,M0499,556624.44,EDC,debit,success,C2M payment - Electronics,REF81551474
T006419,2026-03-20 14:58:52,C01851,M0676,1888014.35,EDC,debit,success,C2M payment - Automotive,REF48836533
T006420,2025-07-22 01:44:46,C01659,M0049,152791.76,QRIS,QRIS,success,C2M payment - F&B,REF27721992
T006421,2025-08-28 13:41:24,M0682,M0665,58557007.92,QRIS,QRIS,success,M2M settlement - Automotive,REF83438189
T006422,2026-05-21 10:31:07,C00758,M0175,212836.62,EDC,credit_card,success,C2M payment - F&B,REF29053166
T006423,2026-05-17 01:31:33,C01352,M0633,1696812.21,QRIS,QRIS,success,C2M payment - Automotive,REF33078753
T006424,2025-12-10 14:35:10,C01318,M0314,331630.43,QRIS,QRIS,success,C2M payment - Fashion,REF65334511
T006425,2025-10-13 11:24:27,M0148,M0063,9561510.13,transfer,bank_transfer,success,M2M settlement - F&B,REF57334563
T006426,2025-09-10 07:57:26,C00631,M0224,554388.5,QRIS,QRIS,success,C2M payment - Fashion,REF57303289
T006427,2026-01-02 23:14:07,C01142,M0187,249573.54,EDC,credit_card,success,C2M payment - F&B,REF42775558
T006428,2025-09-16 21:40:04,M0300,M0510,5507878.84,EDC,credit_card,success,M2M settlement - Electronics,REF17116582
T006429,2025-07-07 14:51:27,C00528,M0669,954894.51,QRIS,QRIS,success,C2M payment - Automotive,REF01382177
T006430,2025-08-10 09:34:31,M0675,M0074,7323538.07,QRIS,QRIS,success,M2M settlement - F&B,REF48755789
T006431,2025-11-20 11:09:32,C01907,M0054,15540.0,QRIS,QRIS,success,C2M payment - F&B,REF55599955
T006432,2025-07-04 07:11:53,C01986,M0186,48774.73,transfer,bank_transfer,success,C2M payment - F&B,REF99719182
T006433,2026-01-06 06:00:28,C01529,M0620,1319393.06,EDC,debit,success,C2M payment - Automotive,REF12606581
T006434,2026-01-22 17:07:00,C00457,M0289,157220.76,EDC,debit,success,C2M payment - Fashion,REF79535616
T006435,2026-02-13 06:52:21,C00911,M0241,286952.7,EDC,credit_card,success,C2M payment - Fashion,REF29416492
T006436,2025-12-31 09:50:14,C00970,M0265,360462.27,transfer,bank_transfer,success,C2M payment - Fashion,REF50255207
T006437,2025-08-02 14:30:28,C00787,M0178,185265.02,QRIS,QRIS,success,C2M payment - F&B,REF08303111
T006438,2025-11-07 11:56:27,M0637,M0327,15565240.49,transfer,bank_transfer,failed,M2M settlement - Fashion,REF37635649
T006439,2025-09-02 13:42:00,C00987,M0602,3375239.47,EDC,credit_card,success,C2M payment - Automotive,REF61898684
T006440,2025-07-31 15:18:51,C00457,M0680,2587132.79,EDC,debit,success,C2M payment - Automotive,REF32449114
T006441,2026-06-24 13:28:38,C00163,M0356,158923.78,EDC,debit,success,C2M payment - Grocery,REF89716828
T006442,2025-09-01 09:56:07,C00581,M0587,1344633.29,EDC,debit,success,C2M payment - Electronics,REF49518065
T006443,2026-06-25 13:28:52,M0686,M0567,11055886.68,transfer,bank_transfer,success,M2M settlement - Electronics,REF32812652
T006444,2026-01-01 09:02:05,C01031,M0145,69777.05,EDC,debit,success,C2M payment - F&B,REF13251357
T006445,2025-08-31 14:47:10,C00158,M0025,60114.98,EDC,debit,success,C2M payment - F&B,REF34793917
T006446,2026-01-31 07:29:44,C01195,M0194,79375.53,QRIS,QRIS,success,C2M payment - F&B,REF41713006
T006447,2026-04-21 06:43:15,C00363,M0507,640090.69,QRIS,QRIS,success,C2M payment - Electronics,REF14993041
T006448,2026-06-12 09:19:13,M0591,M0102,13689624.22,QRIS,QRIS,success,M2M settlement - F&B,REF11438906
T006449,2025-12-23 06:11:56,M0185,M0656,7461900.64,EDC,debit,failed,M2M settlement - Automotive,REF32219623
T006450,2025-09-09 21:49:19,C00925,M0293,543980.43,QRIS,QRIS,success,C2M payment - Fashion,REF43005124
T006451,2026-06-17 11:02:07,C00226,M0455,219285.43,transfer,bank_transfer,success,C2M payment - Grocery,REF20048796
T006452,2025-08-17 21:45:14,M0619,M0613,15847377.93,transfer,bank_transfer,success,M2M settlement - Automotive,REF91521351
T006453,2026-04-27 04:52:41,C00374,M0469,196581.23,EDC,debit,success,C2M payment - Grocery,REF48933304
T006454,2025-10-28 14:30:32,C01698,M0380,187481.88,transfer,bank_transfer,success,C2M payment - Grocery,REF44147937
T006455,2026-01-13 11:50:59,C00903,M0176,61948.0,transfer,bank_transfer,success,C2M payment - F&B,REF13095432
T006456,2025-12-27 08:21:16,M0332,M0311,29253106.91,transfer,bank_transfer,success,M2M settlement - Fashion,REF66975719
T006457,2026-03-01 20:07:08,C01516,M0529,3912484.88,QRIS,QRIS,success,C2M payment - Electronics,REF62028838
T006458,2025-10-30 18:06:47,M0185,M0199,22837173.68,transfer,bank_transfer,success,M2M settlement - F&B,REF01721824
T006459,2025-10-17 08:23:40,C00807,M0389,-314976.9,QRIS,QRIS,success,Refund transaction,REF90719551
T006460,2026-06-21 21:20:18,C01189,M0454,410886.17,QRIS,QRIS,success,C2M payment - Grocery,REF99840460
T006461,2025-11-01 18:20:23,C01667,M0567,686716.19,QRIS,QRIS,success,C2M payment - Electronics,REF56441965
T006462,2025-07-22 15:43:53,C00190,M0310,228294.31,QRIS,QRIS,success,C2M payment - Fashion,REF38033049
T006463,2026-05-15 13:54:53,C00193,M0565,844412.24,transfer,bank_transfer,success,C2M payment - Electronics,REF61420966
T006464,2025-09-13 02:27:34,C01736,M0292,208692.6,EDC,credit_card,success,C2M payment - Fashion,REF05875265
T006465,2025-12-02 11:43:05,C01735,M0185,102489.02,QRIS,QRIS,success,C2M payment - F&B,REF27103960
T006466,2025-09-08 14:26:17,M0617,M0629,5505755.89,transfer,bank_transfer,success,M2M settlement - Automotive,REF71753395
T006467,2025-10-29 14:17:16,M0375,M0646,7777292.33,transfer,bank_transfer,success,M2M settlement - Automotive,REF71753395
T006468,2026-05-21 06:34:50,M0395,M0680,16790172.69,transfer,bank_transfer,success,M2M settlement - Automotive,REF97434763
T006469,2026-01-03 12:13:22,M0122,M0036,3105939.27,transfer,bank_transfer,success,M2M settlement - F&B,REF97434763
T006470,2026-05-19 13:34:52,C00705,M0604,1863905.35,EDC,debit,success,C2M payment - Automotive,REF01660042
T006471,2026-04-22 01:44:35,C00176,M0124,192313.6,EDC,debit,success,C2M payment - F&B,REF92417223
T006472,2025-08-16 20:15:59,C01577,M0016,101755.94,EDC,debit,success,C2M payment - F&B,REF66533489
T006473,2026-06-21 12:13:45,C01493,M0662,7565804.67,QRIS,QRIS,success,C2M payment - Automotive,REF86434300
T006474,2025-09-04 10:00:27,C01443,M0452,241420.93,QRIS,QRIS,success,C2M payment - Grocery,REF28458773
T006475,2026-06-14 16:00:34,C00832,M0573,10614637.72,EDC,credit_card,success,C2M payment - Electronics,REF16723350
T006476,2026-04-03 22:49:20,C01771,M0595,2298843.5,QRIS,QRIS,success,C2M payment - Electronics,REF75678164
T006477,2026-06-24 00:54:13,C01425,M0412,614027.57,QRIS,QRIS,success,C2M payment - Grocery,REF07065627
T006478,2025-10-19 10:38:01,C00533,M0616,6570472.62,transfer,bank_transfer,success,C2M payment - Automotive,REF31546558
T006479,2026-05-09 19:54:58,C01395,M0236,661681.7,QRIS,QRIS,success,C2M payment - Fashion,REF50132873
T006480,2025-12-05 09:40:02,C01574,M0009,120527.24,EDC,debit,success,C2M payment - F&B,REF95874950
T006481,2025-10-10 05:59:59,C00368,M0094,49041.19,QRIS,QRIS,success,C2M payment - F&B,REF99246974
T006482,2025-11-17 18:41:56,C01154,M0373,621827.63,QRIS,QRIS,success,C2M payment - Grocery,REF60333572
T006483,2025-07-09 20:26:03,M0166,M0131,7448223.29,EDC,debit,failed,M2M settlement - F&B,REF61961656
T006484,2025-12-05 09:47:23,M0618,M0009,12522696.85,transfer,bank_transfer,success,M2M settlement - F&B,REF02086949
T006485,2026-05-18 01:28:07,M0575,M0409,560004.96,transfer,bank_transfer,success,M2M settlement - Grocery,REF84815099
T006486,2025-11-20 14:04:02,C00059,M0309,800206.05,QRIS,QRIS,failed,C2M payment - Fashion,REF02693153
T006487,2025-12-03 02:24:38,M0601,M0619,48903875.2,EDC,debit,success,M2M settlement - Automotive,REF27977849
T006488,2025-11-11 11:27:36,C01407,M0630,2507395.01,EDC,debit,success,C2M payment - Automotive,REF31216902
T006489,2026-05-30 14:14:17,C01077,M0404,190195.86,QRIS,QRIS,success,C2M payment - Grocery,REF00166048
T006490,2025-12-15 05:36:58,C01883,M0374,1042692.19,QRIS,QRIS,success,C2M payment - Grocery,REF17819483
T006491,2026-06-07 04:03:26,C00935,M0270,891605.29,EDC,debit,success,C2M payment - Fashion,REF95735523
T006492,2025-08-05 22:23:35,C00646,M0515,2081166.19,transfer,bank_transfer,success,C2M payment - Electronics,REF68362200
T006493,2026-03-11 00:16:06,C00355,M0702,315195.56,EDC,debit,success,C2M payment - Fashion,REF17995293
T006494,2026-03-03 08:35:19,C00503,M0570,1175754.65,transfer,bank_transfer,success,C2M payment - Electronics,REF32487016
T006495,2025-10-08 20:06:53,C00577,M0390,121225.73,QRIS,QRIS,success,C2M payment - Grocery,REF25565223
T006496,2025-07-24 11:35:10,M0375,M0255,6070436.81,transfer,bank_transfer,success,M2M settlement - Fashion,REF86928243
T006497,2026-03-06 22:03:42,M0108,M0397,21052007.75,transfer,bank_transfer,success,M2M settlement - Grocery,REF64776956
T006498,2026-04-20 06:22:28,C00988,M0231,550473.23,QRIS,QRIS,pending,C2M payment - Fashion,REF85415381
T006499,2026-05-29 01:44:31,C01357,M0434,173082.82,QRIS,QRIS,success,C2M payment - Grocery,REF13937984
T006500,2025-10-16 17:50:11,M0103,M0365,32120348.56,EDC,debit,success,M2M settlement - Grocery,REF85962677
T006501,2026-01-06 00:55:18,C00332,M0674,1150894.15,QRIS,QRIS,success,C2M payment - Automotive,REF25115648
T006502,2025-12-17 02:58:52,C01898,M0607,1997531.31,QRIS,QRIS,success,C2M payment - Automotive,REF83422376
T006503,2025-08-31 06:15:20,C01150,M0417,685104.22,QRIS,QRIS,success,C2M payment - Grocery,REF71893770
T006504,2026-02-20 07:20:07,C01989,M0457,132597.79,EDC,credit_card,success,C2M payment - Grocery,REF81736829
T006505,2025-12-20 05:05:16,C00764,M0142,53068.41,QRIS,QRIS,success,C2M payment - F&B,REF59320613
T006506,2026-05-13 11:37:48,M0238,M0317,,transfer,bank_transfer,success,M2M settlement - Fashion,REF19887510
T006507,2026-03-22 03:10:48,M0154,M0189,780431.23,transfer,bank_transfer,success,M2M settlement - F&B,REF51037685
T006508,2025-09-15 00:43:29,C00741,M0317,520411.7,QRIS,QRIS,success,C2M payment - Fashion,REF26177157
T006509,2026-05-28 07:45:53,C00439,M0624,5547332.44,transfer,bank_transfer,success,C2M payment - Automotive,REF49268799
T006510,2025-11-29 19:52:08,C01615,M0231,977440.43,EDC,debit,success,C2M payment - Fashion,REF99033602
T006511,2025-12-21 15:15:23,C01592,M0086,99798.97,QRIS,QRIS,success,C2M payment - F&B,REF16302746
T006512,2025-10-01 11:35:04,C00808,M0004,225723.84,QRIS,QRIS,success,C2M payment - F&B,REF32415955
T006513,2025-07-10 00:14:41,C00649,M0085,72168.48,transfer,bank_transfer,success,C2M payment - F&B,REF59542012
T006514,2026-06-15 12:46:34,M0527,M0396,11608973.68,transfer,bank_transfer,success,M2M settlement - Grocery,REF53351431
T006515,2025-10-12 07:38:02,C01867,M0483,249154.51,QRIS,QRIS,success,C2M payment - Grocery,REF32601866
T006516,2026-06-04 03:05:35,C01644,M0048,80399.16,QRIS,QRIS,success,C2M payment - F&B,REF85944318
T006517,2025-11-28 08:52:19,C00159,M0275,1691725.69,EDC,credit_card,success,C2M payment - Fashion,REF75751378
T006518,2025-08-20 06:06:34,M0666,M0123,1002421.71,transfer,bank_transfer,success,M2M settlement - F&B,REF73054202
T006519,2025-08-09 09:20:09,M0527,M0460,20959422.25,transfer,bank_transfer,success,M2M settlement - Grocery,REF11277134
T006520,2026-04-04 07:38:56,C01787,M0645,984055.1,QRIS,QRIS,success,C2M payment - Automotive,REF07769915
T006521,2025-11-04 00:51:10,C01473,M0234,226167.25,QRIS,QRIS,success,C2M payment - Fashion,REF57644391
T006522,2026-04-13 13:48:06,M0270,M0655,75000000.0,transfer,bank_transfer,success,M2M settlement - Automotive,REF10162069
T006523,2026-04-24 21:36:24,C01100,M0699,820245.66,EDC,debit,success,C2M payment - Automotive,REF59352260
T006524,2025-10-02 22:32:40,C01548,M0183,43520.83,transfer,bank_transfer,success,C2M payment - F&B,REF48554005
T006525,2026-05-08 07:30:07,C01574,M0265,718885.16,QRIS,QRIS,success,C2M payment - Fashion,REF67236701
T006526,2026-05-02 14:12:03,M0609,M0587,-24971022.36,transfer,bank_transfer,success,Refund transaction,REF56498423
T006527,2026-04-13 03:33:20,M0233,M0277,2340159.97,transfer,bank_transfer,failed,M2M settlement - Fashion,REF80342411
T006528,2025-10-05 23:43:23,C01412,M0555,1841669.7,QRIS,QRIS,success,C2M payment - Electronics,REF64708797
T006529,2026-06-03 10:26:23,C01210,M0034,71723.11,EDC,debit,success,C2M payment - F&B,REF32081330
T006530,2026-03-18 22:47:31,C00219,M0084,69890.4,QRIS,QRIS,success,C2M payment - F&B,REF70070365
T006531,2025-09-13 00:30:52,C00794,M0265,-789451.12,EDC,debit,success,Refund transaction,REF78753343
T006532,2026-05-03 06:30:36,C01597,M0275,553729.36,QRIS,QRIS,success,C2M payment - Fashion,REF90113868
T006533,2026-03-31 18:52:05,C01208,M0391,,QRIS,QRIS,success,C2M payment - Grocery,REF90551573
T006534,2025-12-23 11:17:07,C00400,M0338,1216209.11,transfer,bank_transfer,success,C2M payment - Fashion,REF69039023
T006535,2025-12-29 08:33:47,M0052,M0644,4153305.44,transfer,bank_transfer,success,M2M settlement - Automotive,REF90712876
T006536,2025-12-14 23:39:35,C00923,M0564,2219210.85,EDC,credit_card,success,C2M payment - Electronics,REF71822072
T006537,2026-03-01 06:43:29,C00587,M0551,3404446.29,transfer,bank_transfer,success,C2M payment - Electronics,REF27063624
T006538,2026-02-05 00:28:21,C00282,M0661,5038185.85,EDC,debit,success,C2M payment - Automotive,REF12662559
T006539,2025-08-13 03:31:32,C00295,M0305,717779.83,QRIS,QRIS,pending,C2M payment - Fashion,REF72952154
T006540,2026-04-02 13:49:03,C01791,M0140,317879.28,EDC,debit,success,C2M payment - F&B,REF63246286
T006541,2025-12-20 16:36:56,C01292,M0058,46424.8,QRIS,QRIS,success,C2M payment - F&B,REF17857939
T006542,2025-12-15 01:57:46,C00608,M0018,104032.0,EDC,debit,success,C2M payment - F&B,REF72428990
T006543,2026-04-22 19:12:10,M0462,M0612,24411559.4,transfer,bank_transfer,success,M2M settlement - Automotive,REF46580289
T006544,2026-03-07 03:44:50,M0259,M0557,23233542.17,transfer,bank_transfer,success,M2M settlement - Electronics,REF54104018
T006545,2025-10-13 01:15:26,C00223,M0680,1117183.19,QRIS,QRIS,success,C2M payment - Automotive,REF69826450
T006546,2025-10-03 05:02:49,M0315,M0659,19485480.18,EDC,debit,success,M2M settlement - Automotive,REF93324833
T006547,2026-02-24 17:02:23,C01039,M0004,181746.05,QRIS,QRIS,success,C2M payment - F&B,REF65454963
T006548,2026-05-15 04:34:46,C00352,M0294,74102.34,QRIS,QRIS,success,C2M payment - Fashion,REF79834673
T006549,2025-08-27 10:37:26,C00339,M0231,696798.11,QRIS,QRIS,success,C2M payment - Fashion,REF44837706
T006550,2026-05-11 11:22:11,M0381,M0431,45555667.33,transfer,bank_transfer,success,M2M settlement - Grocery,REF01221887
T006551,2025-08-14 02:19:50,M0405,M0652,1995816.59,transfer,bank_transfer,success,M2M settlement - Automotive,REF85791580
T006552,2026-02-18 04:38:58,C00937,M0641,3707390.25,QRIS,QRIS,success,C2M payment - Automotive,REF14614829
T006553,2026-05-24 03:04:52,C01940,M0356,156957.54,EDC,credit_card,success,C2M payment - Grocery,REF89733247
T006554,2025-10-07 21:39:36,C00889,M0581,1764062.46,QRIS,QRIS,success,C2M payment - Electronics,REF28017314
T006555,2026-01-02 04:05:23,C00281,M0220,261181.39,QRIS,QRIS,success,C2M payment - Fashion,REF53530763
T006556,2025-08-02 22:24:09,M0207,M0570,10820344.81,transfer,bank_transfer,success,M2M settlement - Electronics,REF35866421
T006557,2026-04-02 23:43:39,C01203,M0435,164057.65,EDC,debit,success,C2M payment - Grocery,REF45659789
T006558,2025-10-08 15:12:21,C01221,M0155,158903.11,QRIS,QRIS,success,C2M payment - F&B,REF21467165
T006559,2026-06-17 14:19:33,M0311,M0145,75000000.0,transfer,bank_transfer,success,M2M settlement - F&B,REF43109837
T006560,2026-02-06 06:48:02,C00858,M0218,1279214.81,EDC,debit,success,C2M payment - Fashion,REF30271411
T006561,2025-08-12 17:53:10,M0218,M0285,641653.44,transfer,bank_transfer,success,M2M settlement - Fashion,REF00043596
T006562,2025-10-20 17:01:53,C00963,M0255,1121836.52,EDC,debit,success,C2M payment - Fashion,REF66684503
T006563,2026-01-04 00:57:03,M0593,M0528,7185673.36,transfer,bank_transfer,success,M2M settlement - Electronics,REF72727335
T006564,2026-05-26 18:01:02,C01055,M0633,1939028.99,EDC,debit,success,C2M payment - Automotive,REF69772537
T006565,2025-07-22 15:38:37,C01325,M0562,1991869.05,transfer,bank_transfer,success,C2M payment - Electronics,REF33576493
T006566,2026-01-22 01:14:05,C01399,M0356,111644.03,QRIS,QRIS,success,C2M payment - Grocery,REF88603430
T006567,2026-04-18 19:45:28,C00702,M0676,647325.65,transfer,bank_transfer,success,C2M payment - Automotive,REF33747214
T006568,2026-02-16 20:35:27,M0589,M0227,58625261.24,transfer,bank_transfer,success,M2M settlement - Fashion,REF99329592
T006569,2026-06-20 11:03:30,C01818,M0474,321508.9,QRIS,QRIS,success,C2M payment - Grocery,REF69832755
T006570,2025-09-23 10:59:37,C01912,M0708,228935.03,EDC,credit_card,success,C2M payment - Grocery,REF97080895
T006571,2025-08-29 01:04:19,C00793,M0454,1363648.18,transfer,bank_transfer,success,C2M payment - Grocery,REF12541314
T006572,2025-12-29 00:51:53,M0665,M0181,7305481.34,transfer,bank_transfer,success,M2M settlement - F&B,REF60520626
T006573,2025-09-29 03:52:45,C01913,M0237,569503.76,QRIS,QRIS,success,C2M payment - Fashion,REF52927117
T006574,2025-12-08 21:05:03,M0385,M0601,17518713.21,transfer,bank_transfer,success,M2M settlement - Automotive,REF56753848
T006575,2025-11-14 23:39:40,C01833,M0351,157604.63,QRIS,QRIS,success,C2M payment - Grocery,REF07971409
T006576,2025-10-24 00:32:10,C00876,M0695,13095862.33,transfer,bank_transfer,success,C2M payment - Automotive,REF55392882
T006577,2026-02-17 20:12:51,C01032,M0349,903575.48,QRIS,QRIS,success,C2M payment - Fashion,REF40713869
T006578,2026-02-26 11:23:21,C01475,M0535,3242659.32,EDC,credit_card,success,C2M payment - Electronics,REF73542411
T006579,2025-11-29 04:04:09,C01687,M0624,1117300.85,EDC,credit_card,success,C2M payment - Automotive,REF39319678
T006580,2026-02-12 22:28:51,C01341,M0555,9491963.41,EDC,debit,success,C2M payment - Electronics,REF60892680
T006581,2025-11-13 18:27:51,C00399,M0018,232596.09,QRIS,QRIS,success,C2M payment - F&B,REF46241847
T006582,2025-11-30 09:37:26,C01895,M0481,624061.16,QRIS,QRIS,success,C2M payment - Grocery,REF52962632
T006583,2026-03-03 23:41:19,C01920,M0220,263303.03,EDC,credit_card,success,C2M payment - Fashion,REF34941012
T006584,2026-05-31 07:45:39,C01820,M0308,1308901.31,QRIS,QRIS,success,C2M payment - Fashion,REF67974561
T006585,2025-11-27 19:56:45,C01172,M0395,151081.34,QRIS,QRIS,success,C2M payment - Grocery,REF44877902
T006586,2025-12-09 05:17:49,C00091,M0384,510265.91,EDC,debit,success,C2M payment - Grocery,REF45010633
T006587,2026-03-27 20:56:28,C00208,M0393,120728.82,EDC,debit,success,C2M payment - Grocery,REF27232937
T006588,2025-12-06 13:20:09,M0483,M0498,4512672.13,transfer,bank_transfer,success,M2M settlement - Electronics,REF51297102
T006589,2025-09-30 22:23:20,C01164,M0388,365890.03,QRIS,QRIS,success,C2M payment - Grocery,REF32850845
T006590,2025-11-06 10:23:43,C00500,M0229,455239.86,EDC,credit_card,success,C2M payment - Fashion,REF96023352
T006591,2026-01-26 10:59:13,C00186,M0576,2370415.2,QRIS,QRIS,success,C2M payment - Electronics,REF86505682
T006592,2026-02-19 19:11:02,C00354,M0680,593768.19,EDC,credit_card,success,C2M payment - Automotive,REF23821904
T006593,2025-08-07 08:13:35,C00340,M0337,1198649.18,QRIS,QRIS,success,C2M payment - Fashion,REF45829812
T006594,2026-01-21 20:02:13,C00700,M0634,1593564.36,EDC,credit_card,success,C2M payment - Automotive,REF85700199
T006595,2026-01-04 00:17:00,C01906,M0100,56283.22,transfer,bank_transfer,success,C2M payment - F&B,REF58074032
T006596,2026-05-07 03:40:30,C00280,M0581,5586575.17,EDC,debit,success,C2M payment - Electronics,REF41744431
T006597,2026-01-28 23:52:00,C01044,M0397,175988.65,EDC,debit,success,C2M payment - Grocery,REF22420844
T006598,2026-05-12 00:38:35,C01965,M0154,81409.47,QRIS,QRIS,success,C2M payment - F&B,REF90695366
T006599,2026-05-02 05:15:52,C00622,M0336,346730.72,EDC,credit_card,success,C2M payment - Fashion,REF71572220
T006600,2026-06-15 10:31:38,C00008,M0103,74867.82,transfer,bank_transfer,success,C2M payment - F&B,REF10172488
T006601,2026-04-26 19:03:32,C01970,M0071,187193.33,QRIS,QRIS,success,C2M payment - F&B,REF20287366
T006602,2025-09-07 11:57:26,C01291,M0482,492191.15,QRIS,QRIS,success,C2M payment - Grocery,REF07790999
T006603,2025-09-23 15:43:24,C00996,M0042,118818.89,EDC,debit,success,C2M payment - F&B,REF25498891
T006604,2025-08-28 04:05:24,C01170,M0074,60544.38,EDC,debit,success,C2M payment - F&B,REF58265841
T006605,2025-11-11 00:17:18,C00762,M0444,386953.08,QRIS,QRIS,success,C2M payment - Grocery,REF23542893
T006606,2025-12-23 08:01:07,C01947,M0434,185039.5,QRIS,QRIS,success,C2M payment - Grocery,REF81968858
T006607,2026-01-29 00:45:33,C01282,M0407,262417.22,transfer,bank_transfer,success,C2M payment - Grocery,REF93168312
T006608,2025-07-19 21:59:03,C00622,M0625,472010.6,transfer,bank_transfer,success,C2M payment - Automotive,REF89624333
T006609,2025-08-15 02:42:11,C01230,M0376,763449.18,EDC,debit,failed,C2M payment - Grocery,REF59745230
T006610,2025-12-19 17:38:03,C00557,M0165,109797.82,EDC,credit_card,success,C2M payment - F&B,REF98827814
T006611,2026-04-20 16:15:31,M0653,M0346,15446734.67,transfer,bank_transfer,success,M2M settlement - Fashion,REF84592502
T006612,2025-08-07 07:06:30,M0026,M0359,11153499.77,transfer,bank_transfer,success,M2M settlement - Grocery,REF52371714
T006613,2026-05-01 13:11:42,M0616,M0222,5863392.86,transfer,bank_transfer,success,M2M settlement - Fashion,REF36188326
T006614,2026-06-13 03:57:53,C00230,M0476,197571.51,QRIS,QRIS,success,C2M payment - Grocery,REF23403468
T006615,2026-05-12 09:01:25,C01039,M0185,-46747.44,QRIS,QRIS,success,Refund transaction,REF63327214
T006616,2025-09-06 11:00:16,C01682,M0244,767835.94,transfer,bank_transfer,success,C2M payment - Fashion,REF34780974
