source,target,shared_customers,jaccard,size_m1,size_m2
M0039,M0261,5,0.054348,55,42
M0190,M0330,5,0.054348,50,47
M0147,M0368,10,0.054348,93,101
M0431,M0622,5,0.054348,60,37
M0297,M0364,5,0.054348,58,39
M0267,M0484,5,0.054348,62,35
M0192,M0538,5,0.054348,56,41
M0211,M0361,5,0.054348,51,46
M0259,M0681,5,0.054348,47,50
M0024,M0491,5,0.054348,55,42
M0330,M0366,5,0.054348,47,50
M0546,M0587,5,0.054348,49,48
M0117,M0633,5,0.054348,54,43
M0235,M0678,5,0.054348,51,46
M0358,M0670,5,0.054348,46,51
M0063,M0211,5,0.054348,46,51
M0448,M0615,5,0.054348,43,54
M0199,M0376,24,0.054299,195,271
M0009,M0540,7,0.054264,57,79
M0070,M0126,7,0.054264,67,69
M0167,M0378,25,0.05423,253,233
M0257,M0553,9,0.054217,64,111
M0627,M0642,9,0.054217,114,61
M0157,M0398,20,0.054201,280,109
M0242,M0459,23,0.054118,361,87
M0119,M0167,18,0.054054,98,253
M0130,M0394,8,0.054054,103,53
M0220,M0256,4,0.054054,20,58
M0431,M0512,6,0.054054,60,57
M0155,M0406,8,0.054054,92,64
M0194,M0251,6,0.054054,54,63
M0385,M0646,8,0.054054,54,102
M0153,M0552,6,0.054054,67,50
M0164,M0621,6,0.054054,61,56
M0051,M0158,6,0.054054,61,56
M0334,M0601,6,0.054054,70,47
M0380,M0512,6,0.054054,60,57
M0056,M0119,10,0.054054,97,98
M0312,M0648,6,0.054054,67,50
M0143,M0581,8,0.054054,71,85
M0437,M0611,4,0.054054,31,47
M0137,M0684,6,0.054054,53,64
M0200,M0545,6,0.054054,54,63
M0190,M0426,6,0.054054,50,67
M0099,M0594,6,0.054054,58,59
M0083,M0461,6,0.054054,61,56
M0285,M0378,17,0.053968,99,233
M0153,M0334,7,0.053846,67,70
M0346,M0692,7,0.053846,85,52
M0502,M0565,7,0.053846,87,50
M0146,M0543,7,0.053846,50,87
M0368,M0528,19,0.053824,101,271
M0026,M0223,5,0.053763,46,52
M0597,M0619,5,0.053763,48,50
M0035,M0648,5,0.053763,48,50
M0080,M0170,5,0.053763,48,50
M0250,M0388,5,0.053763,50,48
M0249,M0574,5,0.053763,36,62
M0606,M0662,5,0.053763,40,58
M0259,M0498,5,0.053763,47,51
M0138,M0636,5,0.053763,51,47
M0335,M0660,5,0.053763,55,43
M0190,M0377,5,0.053763,50,48
M0058,M0565,5,0.053763,48,50
M0032,M0211,5,0.053763,47,51
M0076,M0648,5,0.053763,48,50
M0351,M0656,5,0.053763,52,46
M0198,M0306,5,0.053763,52,46
M0164,M0655,8,0.053691,61,96
M0042,M0536,8,0.053691,88,69
M0485,M0690,8,0.053691,48,109
M0489,M0585,8,0.053691,95,62
M0376,M0519,17,0.053628,271,63
M0391,M0452,6,0.053571,57,61
M0503,M0590,9,0.053571,65,112
M0021,M0253,6,0.053571,63,55
M0159,M0519,9,0.053571,114,63
M0049,M0334,6,0.053571,48,70
M0108,M0659,6,0.053571,51,67
M0338,M0462,6,0.053571,60,58
M0406,M0410,6,0.053571,64,54
M0015,M0254,6,0.053571,49,69
M0118,M0485,6,0.053571,70,48
M0133,M0625,6,0.053571,40,78
M0254,M0577,6,0.053571,69,49
M0192,M0585,6,0.053571,56,62
M0043,M0413,6,0.053571,59,59
M0428,M0452,6,0.053571,57,61
M0002,M0616,3,0.053571,26,33
M0102,M0201,3,0.053571,38,21
M0596,M0653,6,0.053571,64,54
M0136,M0419,6,0.053571,56,62
M0207,M0700,22,0.053528,92,341
M0590,M0700,23,0.053488,112,341
M0218,M0668,7,0.053435,93,45
M0108,M0502,7,0.053435,51,87
M0272,M0300,16,0.053333,75,241
M0199,M0309,16,0.053333,195,121
M0487,M0489,8,0.053333,63,95
M0257,M0591,8,0.053333,64,94
M0269,M0368,8,0.053333,57,101
M0105,M0437,4,0.053333,48,31
M0188,M0651,8,0.053333,99,59
M0130,M0378,17,0.053292,103,233
M0459,M0554,13,0.053279,87,170
M0139,M0346,9,0.053254,93,85
M0226,M0690,9,0.053254,69,109
M0219,M0619,5,0.053191,49,50
M0134,M0535,5,0.053191,55,44
M0606,M0643,5,0.053191,40,59
M0509,M0678,5,0.053191,53,46
M0138,M0148,5,0.053191,51,48
M0262,M0584,5,0.053191,46,53
M0191,M0475,5,0.053191,50,49
M0521,M0535,5,0.053191,55,44
M0276,M0329,5,0.053191,49,50
M0486,M0598,5,0.053191,43,56
M0163,M0523,5,0.053191,48,51
M0123,M0297,5,0.053191,41,58
M0235,M0414,5,0.053191,51,48
M0181,M0246,5,0.053191,48,51
M0037,M0235,5,0.053191,48,51
M0366,M0635,5,0.053191,50,49
M0079,M0114,5,0.053191,42,57
M0145,M0313,5,0.053191,59,40
M0166,M0603,5,0.053191,50,49
M0276,M0648,5,0.053191,49,50
M0290,M0469,5,0.053191,57,42
M0190,M0607,5,0.053191,50,49
M0286,M0587,5,0.053191,51,48
M0159,M0504,11,0.05314,114,104
M0192,M0545,6,0.053097,56,63
M0126,M0639,6,0.053097,69,50
M0075,M0267,6,0.053097,57,62
M0223,M0497,6,0.053097,52,67
M0098,M0347,6,0.053097,52,67
M0186,M0520,6,0.053097,59,60
M0317,M0682,6,0.053097,60,59
M0029,M0267,6,0.053097,57,62
M0226,M0641,6,0.053097,69,50
M0126,M0567,6,0.053097,69,50
M0529,M0581,6,0.053097,34,85
M0664,M0684,6,0.053097,55,64
M0094,M0114,6,0.053097,62,57
M0408,M0552,6,0.053097,69,50
M0580,M0596,6,0.053097,55,64
M0160,M0416,6,0.053097,47,72
M0028,M0113,6,0.053097,56,63
M0490,M0527,6,0.053097,59,60
M0428,M0574,6,0.053097,57,62
M0203,M0333,7,0.05303,66,73
M0134,M0150,7,0.05303,55,84
M0379,M0577,7,0.05303,90,49
M0118,M0226,7,0.05303,70,69
M0056,M0363,7,0.05303,97,42
M0074,M0675,7,0.05303,59,80
M0256,M0551,7,0.05303,58,81
M0013,M0505,8,0.05298,116,43
M0292,M0634,8,0.05298,81,78
M0007,M0489,8,0.05298,64,95
M0285,M0341,8,0.05298,99,60
M0280,M0379,8,0.05298,69,90
M0130,M0677,8,0.05298,103,56
M0303,M0627,9,0.052941,65,114
M0034,M0384,9,0.052941,103,76
M0033,M0205,16,0.052805,59,260
M0248,M0669,23,0.052752,377,82
M0619,M0626,5,0.052632,50,50
M0070,M0218,8,0.052632,67,93
M0323,M0396,6,0.052632,55,65
M0502,M0683,7,0.052632,87,53
M0079,M0494,5,0.052632,42,58
M0374,M0685,6,0.052632,67,53
M0024,M0350,6,0.052632,55,65
M0589,M0664,5,0.052632,45,55
M0215,M0219,5,0.052632,51,49
M0218,M0312,8,0.052632,93,67
M0011,M0328,5,0.052632,47,53
M0066,M0414,5,0.052632,52,48
M0342,M0698,5,0.052632,43,57
M0046,M0304,5,0.052632,44,56
M0394,M0543,7,0.052632,53,87
M0533,M0675,6,0.052632,40,80
M0290,M0372,6,0.052632,57,63
M0141,M0497,5,0.052632,33,67
M0389,M0413,6,0.052632,61,59
M0074,M0650,6,0.052632,59,61
M0039,M0503,6,0.052632,55,65
M0296,M0509,5,0.052632,47,53
M0085,M0668,5,0.052632,55,45
M0189,M0267,6,0.052632,58,62
M0172,M0707,4,0.052632,35,45
M0138,M0475,5,0.052632,51,49
M0350,M0489,8,0.052632,65,95
M0402,M0442,5,0.052632,42,58
M0061,M0329,5,0.052632,50,50
M0105,M0541,5,0.052632,48,52
M0016,M0598,5,0.052632,44,56
M0606,M0665,6,0.052632,40,80
M0125,M0362,6,0.052632,66,54
M0061,M0118,6,0.052632,50,70
M0167,M0543,17,0.052632,253,87
M0449,M0483,5,0.052632,48,52
M0136,M0504,8,0.052632,56,104
M0001,M0118,6,0.052632,50,70
M0058,M0231,5,0.052632,48,52
M0280,M0528,17,0.052632,69,271
M0236,M0527,6,0.052632,60,60
M0204,M0662,5,0.052632,42,58
M0424,M0553,8,0.052632,49,111
M0262,M0599,4,0.052632,46,34
M0314,M0589,5,0.052632,55,45
M0040,M0134,5,0.052632,45,55
M0319,M0509,5,0.052632,47,53
M0336,M0578,6,0.052632,53,67
M0262,M0349,5,0.052632,46,54
M0089,M0126,6,0.052632,51,69
M0014,M0654,3,0.052632,26,34
M0421,M0573,5,0.052632,48,52
M0174,M0697,6,0.052632,85,35
M0096,M0560,6,0.052632,64,56
M0237,M0289,7,0.052632,80,60
M0043,M0389,6,0.052632,59,61
M0620,M0676,6,0.052632,56,64
M0192,M0676,6,0.052632,56,64
M0061,M0366,5,0.052632,50,50
M0313,M0696,5,0.052632,40,60
M0310,M0607,7,0.052632,91,49
M0448,M0673,5,0.052632,43,57
M0508,M0623,4,0.052632,47,33
M0232,M0677,6,0.052632,64,56
M0223,M0383,5,0.052632,52,48
M0127,M0488,6,0.052632,59,61
M0185,M0426,6,0.052632,53,67
M0217,M0554,11,0.052381,51,170
M0159,M0612,21,0.052369,114,308
M0612,M0627,21,0.052369,308,114
M0159,M0459,10,0.052356,114,87
M0053,M0591,19,0.052342,288,94
M0371,M0632,9,0.052326,91,90
M0227,M0590,25,0.052301,391,112
M0174,M0384,8,0.052288,85,76
M0159,M0160,8,0.052288,114,47
M0303,M0655,8,0.052288,65,96
M0218,M0252,7,0.052239,93,48
M0139,M0587,7,0.052239,93,48
M0431,M0551,7,0.052239,60,81
M0500,M0581,7,0.052239,56,85
M0027,M0695,7,0.052239,60,81
M0350,M0477,7,0.052239,65,76
M0304,M0346,7,0.052239,56,85
M0438,M0581,7,0.052239,56,85
M0303,M0560,6,0.052174,65,56
M0410,M0497,6,0.052174,54,67
M0256,M0372,6,0.052174,58,63
M0086,M0232,6,0.052174,57,64
M0275,M0312,6,0.052174,54,67
M0446,M0650,6,0.052174,60,61
M0544,M0585,6,0.052174,59,62
M0120,M0528,18,0.052174,92,271
M0320,M0350,6,0.052174,56,65
M0075,M0406,6,0.052174,57,64
M0385,M0578,6,0.052174,54,67
M0034,M0242,23,0.052154,103,361
M0124,M0310,17,0.052147,252,91
M0247,M0324,5,0.052083,73,28
M0268,M0389,5,0.052083,40,61
M0082,M0302,5,0.052083,54,47
M0168,M0628,5,0.052083,45,56
M0109,M0259,5,0.052083,54,47
M0191,M0217,5,0.052083,50,51
M0168,M0461,5,0.052083,45,56
M0064,M0319,5,0.052083,54,47
M0252,M0263,5,0.052083,48,53
M0218,M0398,10,0.052083,93,109
M0023,M0211,5,0.052083,50,51
M0422,M0567,5,0.052083,51,50
M0062,M0440,5,0.052083,52,49
M0366,M0514,5,0.052083,50,51
M0049,M0393,5,0.052083,48,53
M0252,M0394,5,0.052083,48,53
M0097,M0501,5,0.052083,55,46
M0124,M0360,15,0.052083,252,51
M0457,M0633,5,0.052083,58,43
M0140,M0428,5,0.052083,44,57
M0265,M0577,5,0.052083,52,49
M0084,M0330,5,0.052083,54,47
M0028,M0582,5,0.052083,56,45
M0088,M0355,5,0.052083,42,59
M0240,M0505,5,0.052083,58,43
M0080,M0393,5,0.052083,48,53
M0557,M0558,5,0.052083,39,62
M0271,M0542,5,0.052083,49,52
M0495,M0615,5,0.052083,47,54
M0231,M0239,5,0.052083,52,49
M0062,M0546,5,0.052083,52,49
M0025,M0147,18,0.052023,271,93
M0340,M0590,8,0.051948,50,112
M0330,M0345,4,0.051948,47,34
M0260,M0618,4,0.051948,44,37
M0405,M0491,4,0.051948,39,42
M0187,M0265,4,0.051948,29,52
M0141,M0507,4,0.051948,33,48
M0088,M0568,4,0.051948,42,39
M0164,M0368,8,0.051948,61,101
M0231,M0379,7,0.051852,52,90
M0086,M0581,7,0.051852,57,85
M0015,M0218,7,0.051852,49,93
M0214,M0551,7,0.051852,61,81
M0042,M0275,7,0.051852,88,54
M0502,M0559,7,0.051852,87,55
M0357,M0655,7,0.051852,46,96
M0473,M0531,7,0.051852,85,57
M0061,M0155,7,0.051852,50,92
M0120,M0167,17,0.051829,92,253
M0161,M0285,10,0.051813,104,99
M0053,M0119,19,0.051771,288,98
M0430,M0673,6,0.051724,65,57
M0251,M0643,6,0.051724,63,59
M0201,M0313,3,0.051724,21,40
M0201,M0533,3,0.051724,21,40
M0118,M0592,6,0.051724,70,52
M0489,M0528,18,0.051724,95,271
M0126,M0159,9,0.051724,69,114
M0085,M0347,6,0.051724,55,67
M0101,M0307,6,0.051724,62,60
M0499,M0562,6,0.051724,58,64
M0142,M0264,6,0.051724,61,61
M0629,M0641,6,0.051724,72,50
M0013,M0447,9,0.051724,116,67
M0442,M0676,6,0.051724,58,64
M0103,M0143,6,0.051724,51,71
M0126,M0353,6,0.051724,69,53
M0031,M0090,6,0.051724,53,69
M0075,M0396,6,0.051724,57,65
M0014,M0484,3,0.051724,26,35
M0044,M0678,6,0.051724,76,46
M0194,M0403,6,0.051724,54,68
M0502,M0655,9,0.051724,87,96
M0227,M0391,22,0.051643,391,57
M0199,M0570,22,0.051643,195,253
M0013,M0376,19,0.05163,116,271
M0480,M0544,8,0.051613,104,59
M0218,M0378,16,0.051613,93,233
M0300,M0581,16,0.051613,241,85
M0199,M0326,13,0.051587,195,70
M0283,M0511,5,0.051546,43,59
M0204,M0317,5,0.051546,42,60
M0066,M0191,5,0.051546,52,50
M0515,M0520,5,0.051546,42,60
M0195,M0604,5,0.051546,51,51
M0063,M0620,5,0.051546,46,56
M0327,M0494,5,0.051546,44,58
M0269,M0589,5,0.051546,57,45
M0023,M0573,5,0.051546,50,52
M0211,M0604,5,0.051546,51,51
M0495,M0608,5,0.051546,47,55
M0600,M0658,5,0.051546,53,49
M0074,M0472,5,0.051546,59,43
M0211,M0392,5,0.051546,51,51
M0138,M0422,5,0.051546,51,51
M0215,M0246,5,0.051546,51,51
M0199,M0553,15,0.051546,195,111
M0043,M0455,5,0.051546,59,43
M0336,M0688,5,0.051546,53,49
M0111,M0270,5,0.051546,51,51
M0116,M0463,5,0.051546,47,55
M0153,M0206,5,0.051546,67,35
M0060,M0216,5,0.051546,56,46
M0411,M0636,5,0.051546,55,47
M0078,M0614,5,0.051546,43,59
M0293,M0628,5,0.051546,46,56
M0028,M0678,5,0.051546,56,46
M0521,M0601,5,0.051546,55,47
M0462,M0496,5,0.051546,58,44
M0271,M0328,5,0.051546,49,53
M0342,M0544,5,0.051546,43,59
M0033,M0423,5,0.051546,59,43
M0066,M0552,5,0.051546,52,50
M0219,M0336,5,0.051546,49,53
M0378,M0627,17,0.051515,233,114
M0073,M0481,7,0.051471,48,95
M0207,M0427,7,0.051471,92,51
M0447,M0477,7,0.051471,67,76
M0066,M0310,7,0.051471,52,91
M0147,M0404,7,0.051471,93,50
M0554,M0700,25,0.05144,170,341
M0187,M0683,4,0.051282,29,53
M0027,M0372,6,0.051282,60,63
M0372,M0520,6,0.051282,63,60
M0043,M0232,6,0.051282,59,64
M0037,M0599,4,0.051282,48,34
M0279,M0664,4,0.051282,27,55
M0564,M0566,4,0.051282,39,43
M0179,M0281,4,0.051282,39,43
M0158,M0516,6,0.051282,56,67
M0043,M0676,6,0.051282,59,64
M0203,M0428,6,0.051282,66,57
M0169,M0484,4,0.051282,47,35
M0136,M0312,6,0.051282,56,67
M0189,M0350,6,0.051282,58,65
M0137,M0407,6,0.051282,53,70
M0115,M0148,4,0.051282,34,48
M0205,M0398,18,0.051282,260,109
M0070,M0598,6,0.051282,67,56
M0012,M0426,6,0.051282,56,67
M0524,M0564,4,0.051282,43,39
M0064,M0226,6,0.051282,54,69
M0056,M0124,17,0.051205,97,252
M0468,M0593,9,0.051136,92,93
M0157,M0632,18,0.051136,280,90
M0021,M0695,7,0.051095,63,81
M0145,M0346,7,0.051095,59,85
M0665,M0676,7,0.051095,80,64
M0155,M0223,7,0.051095,92,52
M0335,M0375,5,0.05102,55,48
M0098,M0498,5,0.05102,52,51
M0229,M0439,5,0.05102,55,48
M0117,M0356,5,0.05102,54,49
M0084,M0530,5,0.05102,54,49
M0557,M0684,5,0.05102,39,64
M0324,M0425,5,0.05102,28,75
M0584,M0626,5,0.05102,53,50
M0269,M0501,5,0.05102,57,46
M0029,M0063,5,0.05102,57,46
M0088,M0395,5,0.05102,42,61
M0278,M0694,5,0.05102,55,48
M0286,M0631,5,0.05102,51,52
M0387,M0682,5,0.05102,44,59
M0249,M0659,5,0.05102,36,67
M0336,M0565,5,0.05102,53,50
M0358,M0467,5,0.05102,46,57
M0353,M0681,5,0.05102,53,50
M0301,M0325,5,0.05102,48,55
M0020,M0514,5,0.05102,52,51
M0060,M0116,5,0.05102,56,47
M0086,M0572,5,0.05102,57,46
M0443,M0601,5,0.05102,56,47
M0474,M0482,5,0.05102,53,50
M0046,M0145,5,0.05102,44,59
M0230,M0694,5,0.05102,55,48
M0084,M0356,5,0.05102,54,49
M0137,M0191,5,0.05102,53,50
M0104,M0679,5,0.05102,53,50
M0080,M0325,5,0.05102,48,55
M0016,M0043,5,0.05102,44,59
M0375,M0521,5,0.05102,48,55
M0232,M0405,5,0.05102,64,39
M0342,M0450,5,0.05102,43,60
M0205,M0553,18,0.050992,260,111
M0272,M0379,8,0.050955,75,90
M0192,M0690,8,0.050955,56,109
M0130,M0267,8,0.050955,103,62
M0147,M0242,22,0.050926,93,361
M0237,M0528,17,0.050898,80,271
M0639,M0663,6,0.050847,50,74
M0159,M0629,9,0.050847,114,72
M0013,M0326,9,0.050847,116,70
M0527,M0645,6,0.050847,60,64
M0257,M0549,6,0.050847,64,60
M0247,M0604,6,0.050847,73,51
M0175,M0199,12,0.050847,53,195
M0532,M0583,6,0.050847,68,56
M0403,M0620,6,0.050847,68,56
M0092,M0362,6,0.050847,70,54
M0076,M0298,6,0.050847,48,76
M0287,M0599,3,0.050847,28,34
M0126,M0323,6,0.050847,69,55
M0188,M0554,13,0.050781,99,170
M0248,M0285,23,0.050773,377,99
M0148,M0466,7,0.050725,48,97
M0001,M0489,7,0.050725,50,95
M0562,M0695,7,0.050725,64,81
M0042,M0420,7,0.050725,88,57
M0191,M0481,7,0.050725,50,95
M0053,M0174,18,0.050704,288,85
M0124,M0309,18,0.050704,252,121
M0227,M0303,22,0.050691,391,65
M0024,M0553,8,0.050633,55,111
M0172,M0587,4,0.050633,35,48
M0300,M0371,16,0.050633,241,91
M0439,M0697,4,0.050633,48,35
M0124,M0299,16,0.050633,252,80
M0052,M0239,4,0.050633,34,49
M0013,M0250,8,0.050633,116,50
M0297,M0506,4,0.050633,58,25
M0204,M0295,4,0.050633,42,41
M0283,M0445,4,0.050633,43,40
M0037,M0206,4,0.050633,48,35
M0107,M0369,4,0.050633,40,43
M0034,M0432,8,0.050633,103,63
M0005,M0102,4,0.050633,45,38
M0553,M0588,8,0.050633,111,55
M0147,M0591,9,0.050562,93,94
M0207,M0489,9,0.050562,92,95
M0554,M0612,23,0.050549,170,308
M0060,M0421,5,0.050505,56,48
M0082,M0366,5,0.050505,54,50
M0496,M0520,5,0.050505,44,60
M0434,M0440,5,0.050505,55,49
M0108,M0394,5,0.050505,51,53
M0064,M0619,5,0.050505,54,50
M0062,M0592,5,0.050505,52,52
M0329,M0610,5,0.050505,50,54
M0089,M0131,5,0.050505,51,53
M0131,M0195,5,0.050505,53,51
M0082,M0417,5,0.050505,54,50
M0232,M0533,5,0.050505,64,40
M0275,M0648,5,0.050505,54,50
M0058,M0067,5,0.050505,48,56
M0273,M0433,5,0.050505,57,47
M0404,M0410,5,0.050505,50,54
M0087,M0244,5,0.050505,47,57
M0028,M0163,5,0.050505,56,48
M0190,M0410,5,0.050505,50,54
M0472,M0617,5,0.050505,43,61
M0303,M0564,5,0.050505,65,39
M0189,M0262,5,0.050505,58,46
M0013,M0207,10,0.050505,116,92
M0246,M0509,5,0.050505,51,53
M0511,M0707,5,0.050505,59,45
M0357,M0442,5,0.050505,46,58
M0093,M0136,5,0.050505,48,56
M0224,M0583,5,0.050505,48,56
M0183,M0692,5,0.050505,52,52
M0555,M0604,5,0.050505,53,51
M0229,M0239,5,0.050505,55,49
M0284,M0541,5,0.050505,52,52
M0577,M0664,5,0.050505,49,55
M0108,M0328,5,0.050505,51,53
M0465,M0539,5,0.050505,55,49
M0024,M0440,5,0.050505,55,49
M0242,M0579,21,0.050481,361,76
M0120,M0300,16,0.050473,92,241
M0157,M0663,17,0.050445,280,74
M0077,M0558,6,0.05042,63,62
M0095,M0510,6,0.05042,66,59
M0312,M0453,6,0.05042,67,58
M0361,M0540,6,0.05042,46,79
M0403,M0531,6,0.05042,68,57
M0126,M0471,6,0.05042,69,56
M0004,M0143,6,0.05042,54,71
M0251,M0585,6,0.05042,63,62
M0090,M0471,6,0.05042,69,56
M0153,M0662,6,0.05042,67,58
M0254,M0583,6,0.05042,69,56
M0010,M0650,6,0.05042,64,61
M0044,M0539,6,0.05042,76,49
M0257,M0389,6,0.05042,64,61
M0197,M0477,6,0.05042,49,76
M0193,M0502,6,0.05042,38,87
M0397,M0675,6,0.05042,45,80
M0272,M0648,6,0.05042,75,50
M0374,M0457,6,0.05042,67,58
M0481,M0514,7,0.05036,95,51
M0142,M0581,7,0.05036,61,85
M0207,M0367,7,0.05036,92,54
M0502,M0614,7,0.05036,87,59
M0232,M0669,7,0.05036,64,82
M0031,M0147,7,0.05036,53,93
M0547,M0627,8,0.050314,53,114
M0013,M0108,8,0.050314,116,51
M0147,M0300,16,0.050314,93,241
M0056,M0092,8,0.050314,97,70
M0309,M0426,9,0.050279,121,67
M0130,M0581,9,0.050279,103,85
M0218,M0489,9,0.050279,93,95
M0119,M0700,21,0.050239,98,341
M0242,M0285,22,0.050228,361,99
M0124,M0528,25,0.050201,252,271
M0124,M0161,17,0.050147,252,104
M0274,M0593,20,0.050125,326,93
M0227,M0310,23,0.050109,391,91
M0024,M0366,5,0.05,55,50
M0071,M0098,5,0.05,53,52
M0312,M0510,6,0.05,67,59
M0140,M0606,4,0.05,44,40
M0155,M0466,9,0.05,92,97
M0103,M0410,5,0.05,51,54
M0484,M0539,4,0.05,35,49
M0294,M0580,5,0.05,50,55
M0435,M0673,6,0.05,69,57
M0368,M0690,10,0.05,101,109
M0403,M0622,5,0.05,68,37
M0411,M0565,5,0.05,55,50
M0180,M0551,7,0.05,66,81
M0193,M0398,7,0.05,38,109
M0041,M0637,5,0.05,50,55
M0580,M0641,5,0.05,55,50
M0488,M0493,6,0.05,61,65
M0522,M0560,5,0.05,49,56
M0396,M0642,6,0.05,65,61
M0263,M0573,5,0.05,53,52
M0263,M0592,5,0.05,53,52
M0114,M0408,6,0.05,57,69
M0033,M0293,5,0.05,59,46
M0250,M0345,4,0.05,50,34
M0141,M0392,4,0.05,33,51
M0271,M0304,5,0.05,49,56
M0074,M0578,6,0.05,59,67
M0173,M0393,5,0.05,52,53
M0496,M0640,4,0.05,44,40
M0217,M0367,5,0.05,51,54
M0200,M0627,8,0.05,54,114
M0041,M0521,5,0.05,50,55
M0033,M0678,5,0.05,59,46
M0304,M0424,5,0.05,56,49
M0171,M0541,5,0.05,53,52
M0470,M0514,4,0.05,33,51
M0103,M0349,5,0.05,51,54
M0026,M0355,5,0.05,46,59
M0101,M0369,5,0.05,62,43
M0009,M0449,5,0.05,57,48
M0009,M0383,5,0.05,57,48
M0276,M0320,5,0.05,49,56
M0417,M0664,5,0.05,50,55
M0424,M0697,4,0.05,49,35
M0590,M0602,10,0.05,112,98
M0301,M0467,5,0.05,48,57
M0246,M0470,4,0.05,51,33
M0472,M0558,5,0.05,43,62
M0472,M0504,7,0.05,43,104
M0020,M0663,6,0.05,52,74
M0460,M0464,7,0.05,86,61
M0111,M0200,5,0.05,51,54
M0136,M0635,5,0.05,56,49
M0237,M0243,7,0.05,80,67
M0460,M0525,7,0.05,86,61
M0384,M0468,8,0.05,76,92
M0229,M0329,5,0.05,55,50
M0588,M0641,5,0.05,55,50
M0526,M0536,6,0.05,57,69
M0198,M0509,5,0.05,52,53
M0627,M0655,10,0.05,114,96
M0193,M0361,4,0.05,38,46
M0455,M0504,7,0.05,43,104
M0038,M0616,4,0.05,51,33
M0429,M0566,4,0.05,41,43
M0659,M0675,7,0.05,67,80
M0161,M0167,17,0.05,104,253
M0267,M0633,5,0.05,62,43
M0128,M0333,6,0.05,53,73
M0333,M0354,6,0.05,73,53
M0356,M0461,5,0.05,49,56
M0188,M0632,9,0.05,99,90
M0192,M0208,5,0.05,56,49
M0442,M0609,5,0.05,58,47
M0034,M0378,16,0.05,103,233
M0023,M0477,6,0.05,50,76
M0269,M0708,8,0.05,57,111
M0572,M0651,5,0.05,46,59
M0407,M0461,6,0.05,70,56
M0350,M0452,6,0.05,65,61
M0111,M0288,5,0.05,51,54
M0275,M0593,7,0.05,54,93
M0218,M0288,7,0.05,93,54
M0368,M0398,10,0.05,101,109
M0235,M0288,5,0.05,51,54
M0500,M0635,5,0.05,56,49
M0042,M0368,9,0.05,88,101
M0340,M0608,5,0.05,50,55
M0307,M0502,7,0.05,60,87
M0062,M0196,5,0.05,52,53
M0336,M0492,5,0.05,53,52
M0456,M0579,6,0.05,50,76
M0052,M0191,4,0.05,34,50
M0284,M0328,5,0.05,52,53
M0015,M0320,5,0.05,49,56
M0140,M0177,5,0.05,44,61
M0062,M0104,5,0.05,52,53
M0181,M0531,5,0.05,48,57
M0068,M0623,4,0.05,51,33
M0124,M0251,15,0.05,252,63
M0393,M0561,5,0.05,53,52
M0276,M0500,5,0.05,49,56
